code	ISO-8859-01	ISO-8859-02	ISO-8859-03	ISO-8859-04	ISO-8859-05	ISO-8859-06	ISO-8859-07	ISO-8859-08	ISO-8859-09	ISO-8859-10	ISO-8859-11	ISO-8859-13	ISO-8859-14	ISO-8859-15	ISO-8859-16
0xE2	0xC3 0xA2	0xC3 0xA2	0xC3 0xA2	0xC3 0xA2	0xD1 0x82	0xD9 0x82	0xCE 0xB2	0xD7 0x92	0xC3 0xA2	0xC3 0xA2	0xE0 0xB9 0x82	0xC4 0x81	0xC3 0xA2	0xC3 0xA2	0xC3 0xA2
0xE3	0xC3 0xA3	0xC4 0x83		0xC3 0xA3	0xD1 0x83	0xD9 0x83	0xCE 0xB3	0xD7 0x93	0xC3 0xA3	0xC3 0xA3	0xE0 0xB9 0x83	0xC4 0x87	0xC3 0xA3	0xC3 0xA3	0xC4 0x83
0xE4	0xC3 0xA4	0xC3 0xA4	0xC3 0xA4	0xC3 0xA4	0xD1 0x84	0xD9 0x84	0xCE 0xB4	0xD7 0x94	0xC3 0xA4	0xC3 0xA4	0xE0 0xB9 0x84	0xC3 0xA4	0xC3 0xA4	0xC3 0xA4	0xC3 0xA4
0xE5	0xC3 0xA5	0xC4 0xBA	0xC4 0x8B	0xC3 0xA5	0xD1 0x85	0xD9 0x85	0xCE 0xB5	0xD7 0x95	0xC3 0xA5	0xC3 0xA5	0xE0 0xB9 0x85	0xC3 0xA5	0xC3 0xA5	0xC3 0xA5	0xC4 0x87
0xE6	0xC3 0xA6	0xC4 0x87	0xC4 0x89	0xC3 0xA6	0xD1 0x86	0xD9 0x86	0xCE 0xB6	0xD7 0x96	0xC3 0xA6	0xC3 0xA6	0xE0 0xB9 0x86	0xC4 0x99	0xC3 0xA6	0xC3 0xA6	0xC3 0xA6
0xE7	0xC3 0xA7	0xC3 0xA7	0xC3 0xA7	0xC4 0xAF	0xD1 0x87	0xD9 0x87	0xCE 0xB7	0xD7 0x97	0xC3 0xA7	0xC4 0xAF	0xE0 0xB9 0x87	0xC4 0x93	0xC3 0xA7	0xC3 0xA7	0xC3 0xA7
0xE8	0xC3 0xA8	0xC4 0x8D	0xC3 0xA8	0xC4 0x8D	0xD1 0x88	0xD9 0x88	0xCE 0xB8	0xD7 0x98	0xC3 0xA8	0xC4 0x8D	0xE0 0xB9 0x88	0xC4 0x8D	0xC3 0xA8	0xC3 0xA8	0xC3 0xA8
0xE9	0xC3 0xA9	0xC3 0xA9	0xC3 0xA9	0xC3 0xA9	0xD1 0x89	0xD9 0x89	0xCE 0xB9	0xD7 0x99	0xC3 0xA9	0xC3 0xA9	0xE0 0xB9 0x89	0xC3 0xA9	0xC3 0xA9	0xC3 0xA9	0xC3 0xA9
0xEA	0xC3 0xAA	0xC4 0x99	0xC3 0xAA	0xC4 0x99	0xD1 0x8A	0xD9 0x8A	0xCE 0xBA	0xD7 0x9A	0xC3 0xAA	0xC4 0x99	0xE0 0xB9 0x8A	0xC5 0xBA	0xC3 0xAA	0xC3 0xAA	0xC3 0xAA
0xEB	0xC3 0xAB	0xC3 0xAB	0xC3 0xAB	0xC3 0xAB	0xD1 0x8B	0xD9 0x8B	0xCE 0xBB	0xD7 0x9B	0xC3 0xAB	0xC3 0xAB	0xE0 0xB9 0x8B	0xC4 0x97	0xC3 0xAB	0xC3 0xAB	0xC3 0xAB
0xEC	0xC3 0xAC	0xC4 0x9B	0xC3 0xAC	0xC4 0x97	0xD1 0x8C	0xD9 0x8C	0xCE 0xBC	0xD7 0x9C	0xC3 0xAC	0xC4 0x97	0xE0 0xB9 0x8C	0xC4 0xA3	0xC3 0xAC	0xC3 0xAC	0xC3 0xAC
0xED	0xC3 0xAD	0xC3 0xAD	0xC3 0xAD	0xC3 0xAD	0xD1 0x8D	0xD9 0x8D	0xCE 0xBD	0xD7 0x9D	0xC3 0xAD	0xC3 0xAD	0xE0 0xB9 0x8D	0xC4 0xB7	0xC3 0xAD	0xC3 0xAD	0xC3 0xAD
0xEE	0xC3 0xAE	0xC3 0xAE	0xC3 0xAE	0xC3 0xAE	0xD1 0x8E	0xD9 0x8E	0xCE 0xBE	0xD7 0x9E	0xC3 0xAE	0xC3 0xAE	0xE0 0xB9 0x8E	0xC4 0xAB	0xC3 0xAE	0xC3 0xAE	0xC3 0xAE
0xEF	0xC3 0xAF	0xC4 0x8F	0xC3 0xAF	0xC4 0xAB	0xD1 0x8F	0xD9 0x8F	0xCE 0xBF	0xD7 0x9F	0xC3 0xAF	0xC3 0xAF	0xE0 0xB9 0x8F	0xC4 0xBC	0xC3 0xAF	0xC3 0xAF	0xC3 0xAF
0xF0	0xC3 0xB0	0xC4 0x91		0xC4 0x91	0xE2 0x84 0x96	0xD9 0x90	0xCF 0x80	0xD7 0xA0	0xC4 0x9F	0xC3 0xB0	0xE0 0xB9 0x90	0xC5 0xA1	0xC5 0xB5	0xC3 0xB0	0xC4 0x91
0xF1	0xC3 0xB1	0xC5 0x84	0xC3 0xB1	0xC5 0x86	0xD1 0x91	0xD9 0x91	0xCF 0x81	0xD7 0xA1	0xC3 0xB1	0xC5 0x86	0xE0 0xB9 0x91	0xC5 0x84	0xC3 0xB1	0xC3 0xB1	0xC5 0x84
0xF2	0xC3 0xB2	0xC5 0x88	0xC3 0xB2	0xC5 0x8D	0xD1 0x92	0xD9 0x92	0xCF 0x82	0xD7 0xA2	0xC3 0xB2	0xC5 0x8D	0xE0 0xB9 0x92	0xC5 0x86	0xC3 0xB2	0xC3 0xB2	0xC3 0xB2
0xF3	0xC3 0xB3	0xC3 0xB3	0xC3 0xB3	0xC4 0xB7	0xD1 0x93		0xCF 0x83	0xD7 0xA3	0xC3 0xB3	0xC3 0xB3	0xE0 0xB9 0x93	0xC3 0xB3	0xC3 0xB3	0xC3 0xB3	0xC3 0xB3
0xF4	0xC3 0xB4	0xC3 0xB4	0xC3 0xB4	0xC3 0xB4	0xD1 0x94		0xCF 0x84	0xD7 0xA4	0xC3 0xB4	0xC3 0xB4	0xE0 0xB9 0x94	0xC5 0x8D	0xC3 0xB4	0xC3 0xB4	0xC3 0xB4
0xF5	0xC3 0xB5	0xC5 0x91	0xC4 0xA1	0xC3 0xB5	0xD1 0x95		0xCF 0x85	0xD7 0xA5	0xC3 0xB5	0xC3 0xB5	0xE0 0xB9 0x95	0xC3 0xB5	0xC3 0xB5	0xC3 0xB5	0xC5 0x91
0xF6	0xC3 0xB6	0xC3 0xB6	0xC3 0xB6	0xC3 0xB6	0xD1 0x96		0xCF 0x86	0xD7 0xA6	0xC3 0xB6	0xC3 0xB6	0xE0 0xB9 0x96	0xC3 0xB6	0xC3 0xB6	0xC3 0xB6	0xC3 0xB6
0xF7	0xC3 0xB7	0xC3 0xB7	0xC3 0xB7	0xC3 0xB7	0xD1 0x97		0xCF 0x87	0xD7 0xA7	0xC3 0xB7	0xC5 0xA9	0xE0 0xB9 0x97	0xC3 0xB7	0xE1 0xB9 0xAB	0xC3 0xB7	0xC5 0x9B
0xF8	0xC3 0xB8	0xC5 0x99	0xC4 0x9D	0xC3 0xB8	0xD1 0x98		0xCF 0x88	0xD7 0xA8	0xC3 0xB8	0xC3 0xB8	0xE0 0xB9 0x98	0xC5 0xB3	0xC3 0xB8	0xC3 0xB8	0xC5 0xB1
0xF9	0xC3 0xB9	0xC5 0xAF	0xC3 0xB9	0xC5 0xB3	0xD1 0x99		0xCF 0x89	0xD7 0xA9	0xC3 0xB9	0xC5 0xB3	0xE0 0xB9 0x99	0xC5 0x82	0xC3 0xB9	0xC3 0xB9	0xC3 0xB9
0xFA	0xC3 0xBA	0xC3 0xBA	0xC3 0xBA	0xC3 0xBA	0xD1 0x9A		0xCF 0x8A	0xD7 0xAA	0xC3 0xBA	0xC3 0xBA	0xE0 0xB9 0x9A	0xC5 0x9B	0xC3 0xBA	0xC3 0xBA	0xC3 0xBA
0xFB	0xC3 0xBB	0xC5 0xB1	0xC3 0xBB	0xC3 0xBB	0xD1 0x9B		0xCF 0x8B		0xC3 0xBB	0xC3 0xBB	0xE0 0xB9 0x9B	0xC5 0xAB	0xC3 0xBB	0xC3 0xBB	0xC3 0xBB
0xFC	0xC3 0xBC	0xC3 0xBC	0xC3 0xBC	0xC3 0xBC	0xD1 0x9C		0xCF 0x8C		0xC3 0xBC	0xC3 0xBC		0xC3 0xBC	0xC3 0xBC	0xC3 0xBC	0xC3 0xBC
0xFD	0xC3 0xBD	0xC3 0xBD	0xC5 0xAD	0xC5 0xA9	0xC2 0xA7		0xCF 0x8D	0xE2 0x80 0x8E	0xC4 0xB1	0xC3 0xBD		0xC5 0xBC	0xC3 0xBD	0xC3 0xBD	0xC4 0x99
0xFE	0xC3 0xBE	0xC5 0xA3	0xC5 0x9D	0xC5 0xAB	0xD1 0x9E		0xCF 0x8E	0xE2 0x80 0x8F	0xC5 0x9F	0xC3 0xBE		0xC5 0xBE	0xC5 0xB7	0xC3 0xBE	0xC8 0x9B
0xFF	0xC3 0xBF	0xCB 0x99	0xCB 0x99	0xCB 0x99	0xD1 0x9F				0xC3 0xBF	0xC4 0xB8		0xE2 0x80 0x99	0xC3 0xBF	0xC3 0xBF	0xC3 0xBF
